h   r   t   tau
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-03-11
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-08-28
South Korea	Meet at a 'third' location	Japan	2014-02-25
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-07-14
Pope Francis	Meet at a 'third' location	European Parliament	2014-11-24
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-03-15
Mohammad Javad Zarif	Meet at a 'third' location	Nonaligned Movement	2014-05-24
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-24
South Korea	Meet at a 'third' location	Japan	2014-04-13
Japan	Meet at a 'third' location	South Korea	2014-03-16
François Hollande	Meet at a 'third' location	Barack Obama	2014-06-03
South Korea	Meet at a 'third' location	Japan	2014-12-29
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-12-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-13
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-10-10
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-12
Japan	Meet at a 'third' location	South Korea	2014-11-23
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-05
South Korea	Meet at a 'third' location	Japan	2014-07-12
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-09-17
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-05-02
Japan	Meet at a 'third' location	South Korea	2014-11-20
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-10
Japan	Meet at a 'third' location	South Korea	2014-04-03
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-14
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-11-14
Japan	Meet at a 'third' location	South Korea	2014-11-21
John Kerry	Meet at a 'third' location	Joseph Kabila	2014-04-29
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-20
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-18
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-02
Umar al Bashir	Meet at a 'third' location	Sudan	2014-02-15
Japan	Meet at a 'third' location	South Korea	2014-07-19
South Korea	Meet at a 'third' location	Japan	2014-07-18
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-01-08
South Korea	Meet at a 'third' location	Japan	2014-05-15
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
Kazakhstan	Meet at a 'third' location	Tajikistan	2014-08-13
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-03-19
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-11
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-20
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-30
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-03-20
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-10
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-05-30
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-23
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-04-11
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-05-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-05-03
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-08
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-07
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-21
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-09
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-12
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-11-21
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-20
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-06-22
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-22
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-10
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-30
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-07-27
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-02
Umar al Bashir	Meet at a 'third' location	Sudan	2014-12-28
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-07-19
Japan	Meet at a 'third' location	South Korea	2014-03-28
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-07-10
South Korea	Meet at a 'third' location	Japan	2014-06-20
John Kerry	Meet at a 'third' location	Iran	2014-02-04
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-01-10
Japan	Meet at a 'third' location	South Korea	2014-10-02
Umar al Bashir	Meet at a 'third' location	Sudan	2014-10-19
Umar al Bashir	Meet at a 'third' location	Sudan	2014-02-18
Umar al Bashir	Meet at a 'third' location	Sudan	2014-10-22
Barack Obama	Meet at a 'third' location	North Atlantic Treaty Organization	2014-09-06
Foreign Affairs (Russia)	Meet at a 'third' location	John Kerry	2014-07-29
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-31
Foreign Affairs (Russia)	Meet at a 'third' location	John Kerry	2014-04-13
South Korea	Meet at a 'third' location	Japan	2014-12-29
Japan	Meet at a 'third' location	South Korea	2014-09-16
Japan	Meet at a 'third' location	South Korea	2014-03-21
South Korea	Meet at a 'third' location	Japan	2014-07-16
Japan	Meet at a 'third' location	South Korea	2014-02-08
South Korea	Meet at a 'third' location	Japan	2014-03-09
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-24
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-03-19
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-09-24
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-07-03
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-10-03
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-07-09
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-09
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-25
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-09-25
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-09-26
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-07-24
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-16
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-03-20
South Korea	Meet at a 'third' location	Japan	2014-03-30
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-03-09
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-10-14
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-04-02
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-02-22
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-04-10
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-08
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-29
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-17
Barack Obama	Meet at a 'third' location	François Hollande	2014-03-02
Barack Obama	Meet at a 'third' location	François Hollande	2014-03-08
Barack Obama	Meet at a 'third' location	François Hollande	2014-10-13
Japan	Meet at a 'third' location	South Korea	2014-03-20
Japan	Meet at a 'third' location	South Korea	2014-09-26
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-06-06
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-27
François Hollande	Meet at a 'third' location	Barack Obama	2014-10-15
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-07-17
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-05-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-16
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-06-17
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-23
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-29
Japan	Meet at a 'third' location	South Korea	2014-11-16
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-10-23
South Korea	Meet at a 'third' location	Japan	2014-12-29
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-07-03
François Hollande	Meet at a 'third' location	Barack Obama	2014-07-29
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-11-20
Yannis Stournaras	Meet at a 'third' location	Antonis Samaras	2014-05-23
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-03
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-07
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-02-21
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-11-15
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-14
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-05-07
François Hollande	Meet at a 'third' location	Barack Obama	2014-02-11
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-06-23
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-30
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-11-16
Japan	Meet at a 'third' location	South Korea	2014-11-13
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-19
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-06-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-14
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-01
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-08
Japan	Meet at a 'third' location	South Korea	2014-07-27
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-12
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-11-03
Saud bin Faisal bin Abdul-Aziz	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-01-05
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-11-13
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-02
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-06-24
Barack Obama	Meet at a 'third' location	François Hollande	2014-02-13
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-01-01
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-09-10
John Kerry	Meet at a 'third' location	Iran	2014-01-26
John Kerry	Meet at a 'third' location	Iran	2014-02-06
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-07-03
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-07-21
South Korea	Meet at a 'third' location	Japan	2014-08-10
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-07-27
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-02-28
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-08-22
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-08-09
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-03-19
Japan	Meet at a 'third' location	South Korea	2014-09-11
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-07-14
Japan	Meet at a 'third' location	South Korea	2014-09-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-10-15
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-08-10
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-08-09
South Korea	Meet at a 'third' location	Japan	2014-09-26
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-10
Barack Obama	Meet at a 'third' location	François Hollande	2014-06-20
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-07-19
François Hollande	Meet at a 'third' location	Barack Obama	2014-07-08
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-08-09
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-31
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-05-02
Barack Obama	Meet at a 'third' location	Canada	2014-11-22
Umar al Bashir	Meet at a 'third' location	Sudan	2014-05-08
Nonaligned Movement	Meet at a 'third' location	Mohammad Javad Zarif	2014-08-04
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-05-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-06-05
Japan	Meet at a 'third' location	South Korea	2014-06-23
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-06-23
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-09-15
South Korea	Meet at a 'third' location	Japan	2014-09-19
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-03-27
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-12-23
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-08-28
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-06-13
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-08-12
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-11-13
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-02-07
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-10-03
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-04-22
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-09-22
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-08-19
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-10-20
William Ruto	Accede to demands for change in leadership	Uhuru Muigai Kenyatta	2014-06-16
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-12-29
Ministry (Nigeria)	Accede to demands for change in leadership	Citizen (Nigeria)	2014-08-29
Vietnam	Decline comment	China	2014-05-22
Vietnam	Decline comment	China	2014-06-10
Vietnam	Decline comment	China	2014-06-13
Vietnam	Decline comment	China	2014-05-11
Vietnam	Decline comment	China	2014-05-13
Vietnam	Decline comment	China	2014-05-12
